BROKERTITLE,TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,ADDRESS,STATE
Brokered by COMPASS,Co-op for sale,975000,3,1,2184.207862,360 W 22nd St Apt 9J,"Manhattan, NY 10011"
Brokered by CHRISTIE'S INT.REAL ESTATE GROUP,Townhouse for sale,29200000,12,10,11638,123 E 35th St,"New York, NY 10016"
Brokered by Pride Estates,Co-op for sale,498000,2,1,975,138 71st St Apt E10,"Brooklyn, NY 11209"
Brokered by Laffey Real Estate,Co-op for sale,385000,1,2,900,1805 215th St Apt 4S,"Bayside, NY 11360"
Brokered by Progress Realty Inc.,Multi-family home for sale,999000,6,2,3144,851 Van Nest Ave,"Bronx, NY 10462"
Brokered by COMPASS,Co-op for sale,399000,1,1,2184.207862,34-41 85th St Unit 3U,"Jackson Heights, NY 11372"
Brokered by Staten Island Premiere Properties,Contingent,599000,4,4,2800,77 Harbour Ct,"Staten Island, NY 10308"
Brokered by Staten Island Premiere Properties,House for sale,829888,4,2.373860858,1800,70 Savo Loop,"Staten Island, NY 10309"
"Brokered by Dynasty Real Estate, Inc.",Townhouse for sale,699998,3,2,1548,159 Freedom Ave,"Staten Island, NY 10314"
Brokered by Daniel Gale Sotheby's International Realty,Co-op for sale,1088000,5,2,2184.207862,20 Continental Ave Unit 5EF,"Forest Hills, NY 11375"
Brokered by WW Realty Group Inc,House for sale,999000,6,2,1280,3426 Boller Ave,"Bronx, NY 10475"
Brokered by New York Realty Minimax,Multi-family home for sale,1188888,15,9,2184.207862,677 Grandview Ave,"Ridgewood, NY 11385"
Brokered by NextHome Residential,Co-op for sale,265000,1,1,700,23-45 Bell Blvd Unit 5K,"Bayside, NY 11360"
"Brokered by MAXIMILLION REALTY, INC.",Co-op for sale,288000,1,1,845,3901 Nostrand Ave Apt 4C,"Brooklyn, NY 11235"
Brokered by COMPASS,Co-op for sale,999995,3,2,1750,205 E 63rd St Unit 11EF,"Manhattan, NY 10065"
Brokered by Corcoran East Side,Co-op for sale,1495000,2,2,1350,200 E 74th St Apt 6B,"New York, NY 10021"
Brokered by Corcoran Park Avenue South,Co-op for sale,925000,1,1,1000,235 E 73rd St # 4B,"New York, NY 10021"
Brokered by Realty Connect USA LLC,Co-op for sale,349000,2,1,2184.207862,84-70 129 St N Unit 5U,"Kew Gardens, NY 11415"
Brokered by AI Realty Brokerage LLC,Condo for sale,2000000,4,4,3000,444 E 57th St Apt 2D,"New York, NY 10022"
Brokered by Century 21 Realty First,Condo for sale,839000,3,2,1376,8895 26th Ave Apt 5A,"Brooklyn, NY 11214"
Brokered by Platinum Properties of Long Island,Co-op for sale,329000,1,1,820,111-39 76th Rd Unit E6,"Forest Hills, NY 11375"
Brokered by Keller Williams Hudson Valley,Multi-family home for sale,899000,6,3,3683,948 E 217th St,"Bronx, NY 10469"
Brokered by Citadel Circle Realty,House for sale,615000,3,2,2184.207862,534 Powell St,"Brownville, NY 11212"
Brokered by Sotheby's International Realty - Downtown Manhattan,Condo for sale,800000,2,2,1257,309 E 108th St Apt 5F,"New York, NY 10029"
Brokered by Coldwell Banker Advantage,Condo for sale,430000,2,2,1248,527 Willow Rd E Unit 2,"Staten Island, NY 10314"
Brokered by Jessica Viola,Contingent,499000,3,2,1288,625 Goethals Rd N,"Staten Island, NY 10314"
Brokered by Keller Williams Realty Liberty,Co-op for sale,439500,3,2,1400,83-80 118th St Unit 3O,"Kew Gardens, NY 11415"
Brokered by Prime Properties Long Island,Co-op for sale,299000,1,1,2184.207862,118-18 Union Tpke Unit 17G,"Kew Gardens, NY 11415"
"Brokered by Robert DeFalco Realty, Inc.",House for sale,2580000,8,2.373860858,6493,60 Lyman Pl,"Staten Island, NY 10304"
Brokered by RE MAX Distinguished Homes & Properties,Condo for sale,200000,1,1,613,1700 Metropolitan Ave Apt Mh,"Bronx, NY 10462"
Brokered by Oxford Property Group,Co-op for sale,425000,3,1,2184.207862,504 W 135th St Apt 1B,"New York, NY 10031"
Brokered by BESMATCH REAL ESTATE,Co-op for sale,69000,1,1,850,1185 Anderson Ave Apt 2E,"Bronx, NY 10452"
Brokered by Corcoran West Side Gallery,Condo for sale,1995000,3,2,1546,272 W 107th St Apt 8D,"New York, NY 10025"
Brokered by COMPASS,Co-op for sale,230000,1,1,620,255 W 108th St Apt 1F,"Manhattan, NY 10025"
Brokered by Crifasi Real Estate Inc,Co-op for sale,220000,1,1,590,82-35 134th St Unit 2D,"Briarwood, NY 11435"
Brokered by E Realty International Corp,Co-op for sale,198000,3,1,2184.207862,42-40 Bowne St Unit 6F,"Flushing, NY 11355"
Brokered by Brown Harris Stevens - 445 Park Avenue,Co-op for sale,1495000,1,2,2184.207862,48 Gramercy Park N Apt 1B,"Manhattan, NY 10010"
Brokered by Corcoran West Side,Co-op for sale,475000,1,1,615,520 E 90th St Apt 1L,"New York, NY 10128"
Brokered by Rad Marketing Corp,Co-op for sale,199900,2,1,2184.207862,234-04 131 Ave Unit 2,"Rosedale, NY 11422"
Brokered by Joanne Costa Realty,House for sale,1150000,2,2,1444,91 Flagg Ct,"Staten Island, NY 10304"
Brokered by Corcoran Park Slope,House for sale,1575000,3,2,2184.207862,530 4th St,"Brooklyn, NY 11215"
Brokered by KELLER WILLIAMS REALTY LANDMARK II,Co-op for sale,229000,1,1,2184.207862,33-05 92nd St Unit 1B,"Jackson Heights, NY 11372"
Brokered by Corcoran SoHo,For sale,2700000,8,4,2184.207862,122 Willoughby Ave,"Brooklyn, NY 11205"
Brokered by C J Robin's Real Estate,Condo for sale,320000,2,2,936,1860 Story Ave Unit 36C,"Bronx, NY 10473"
Brokered by RE MAX Edge,Co-op for sale,295000,2,1,700,1275 E 5th St Apt 6A,"Brooklyn, NY 11230"
Brokered by Spire Group Inc.- Main Office,House for sale,550000,3,2,2184.207862,4211 Snyder Ave,"Brooklyn, NY 11203"
Brokered by Serhant,Condo for sale,285000,2,1,1000,1439 Metropolitan Ave Apt 6A,"Bronx, NY 10462"
Brokered by Voro Llc,Co-op for sale,328000,1,1,800,83-30 Vietor Ave Unit 414,"Elmhurst, NY 11373"
Brokered by Skylux Realty,Multi-family home for sale,1388000,4,3,2184.207862,25-02 169th St,"Flushing, NY 11358"
Brokered by EXP Realty,Multi-family home for sale,3000000,10,10,2184.207862,120 Pierrepont St,"Brooklyn Heights, NY 11201"
Brokered by New York Realty Minimax,Multi-family home for sale,2198888,7,6,2184.207862,662 Seneca Ave,"Ridgewood, NY 11385"
Brokered by Howard Hanna | Rand Realty,Multi-family home for sale,650000,6,2,2310,936 Taylor Ave,"Bronx, NY 10473"
Brokered by Corcoran Park Avenue South,Condo for sale,1100000,1,2,890,247 W 46th St Apt 1506,"New York, NY 10036"
Brokered by Gosen Properties Inc,Townhouse for sale,2649000,5,4,4050,282 Macon St,"Brooklyn, NY 11216"
Brokered by Corcoran Park Slope,Co-op for sale,849000,2,1,800,299 13th St Apt 3D,"Brooklyn, NY 11215"
Brokered by Sotheby's International Realty - East Side Manhattan Brokerage,For sale,6500000,2,2,2184.207862,995 Fifth Ave Apt 11N,"New York, NY 10028"
Brokered by HOULIHAN LAWRENCE - LaGrangeville,Co-op for sale,560000,3,1,550,165 W End Ave Apt 16C,"New York, NY 10023"
Brokered by Corcoran Park Avenue South,Condo for sale,1100000,1,2,890,247 W 46th St Apt 1506,"New York, NY 10036"
Brokered by Gosen Properties Inc,Townhouse for sale,2649000,5,4,4050,282 Macon St,"Brooklyn, NY 11216"
Brokered by Corcoran Park Slope,Co-op for sale,849000,2,1,800,299 13th St Apt 3D,"Brooklyn, NY 11215"
Brokered by RE MAX Elite,Co-op for sale,418888,2,1,900,946 59th St Apt 4B,"Brooklyn, NY 11219"
Brokered by RE MAX Real Estate Professionals,Multi-family home for sale,2600000,3,3,3978,99 Bay 11th St,"Brooklyn, NY 11228"
Brokered by Velez Realty Corp,Multi-family home for sale,899000,8,2,2160,3214 Seymour Ave,"Bronx, NY 10469"
Brokered by CENTURY 21 Dawn's Gold Realty,Multi-family home for sale,979000,8,3,2860,309 E 96th St,"Brooklyn, NY 11212"
Brokered by Sbny Re,Co-op for sale,199000,1,1,2184.207862,67-38 108 St Unit D5,"Forest Hills, NY 11375"
Brokered by Sotheby's International Realty - East Side Manhattan Brokerage,For sale,815000,3,1,2184.207862,310 E 46th St Apt 6S,"New York, NY 10017"
Brokered by Signature Premier Properties,Condo for sale,1025000,1,1,800,460 E 79th St Apt 9F,"New York, NY 10075"
Brokered by COMPASS,Condo for sale,1375000,1,2,920,188 E 64th St Apt 802,"Manhattan, NY 10065"
Brokered by Keller Williams NYC,Condo for sale,875000,3,2,1437,105 Bennett Ave Apt 21A,"New York, NY 10033"
"Brokered by MAXIMILLION REALTY, INC.",Multi-family home for sale,1350000,6,3,3000,2535 E 24th St,"Brooklyn, NY 11235"
Brokered by Corcoran Williamsburg Bedford,For sale,989000,7,3,2184.207862,1408 Remsen Ave,"Brooklyn, NY 11236"
Brokered by Scott Dobrin Realty,Multi-family home for sale,815156,4,4,2945,156 Davis Ave,"Staten Island, NY 10310"
Brokered by Momentum Real Estate Llc,Multi-family home for sale,1949000,3,5,2560,11 Brighton 10th Path,"Brooklyn, NY 11235"
Brokered by Redfin Real Estate,Multi-family home for sale,669000,5,2,1893,418 Beach 37th St,"Far Rockaway, NY 11691"
Brokered by Fillmore Real Estate,Multi-family home for sale,900500,4,2,2184.207862,10716 Avenue J,"Brooklyn, NY 11236"
"Brokered by CLAS - Classic Marketing, LLC",Co-op for sale,1465000,3,3,2184.207862,215 E 73rd St Unit 4A,"New York, NY 10021"
Brokered by Sotheby's International Realty - East Side Manhattan Brokerage,For sale,899000,3,1,1100,529 W 42nd St Apt 2G,"New York, NY 10036"
Brokered by COMPASS,Condo for sale,1100000,1,1,726,88 Greenwich St Apt 2307,"Manhattan, NY 10006"
"Brokered by Century 21 Amiable Realty Group II, Inc.",Multi-family home for sale,1199000,6,5,2184.207862,151-42 82nd St,"Howard Beach, NY 11414"
Brokered by Corcoran Chelsea/Flatiron,For sale,325000,2,1,2184.207862,12 W 107th St Apt 2B,"New York, NY 10025"
Brokered by Coldwell Banker American Homes,Multi-family home for sale,599000,4,3,1176,3100 Richmond Ter,"Staten Island, NY 10303"
Brokered by New York Realty Minimax,Multi-family home for sale,1230000,4,3,2184.207862,74-06 64th Ln,"Ridgewood, NY 11385"
Brokered by Brown Harris Stevens - 445 Park Avenue,Co-op for sale,3950000,3,3,2184.207862,2 Sutton Pl S Apt 19F,"Manhattan, NY 10022"
Brokered by ANNE LOPA REAL ESTATE,House for sale,2147483647,7,6,10000,6659-6675 Amboy Rd,"New York, NY 10309"
Brokered by KELLER WILLIAMS REALTY LANDMARK II,Multi-family home for sale,1350000,10,5,3383,188 Richmond St,"Brooklyn, NY 11208"
Brokered by OneSpace Realty Group LLC,House for sale,799000,5,3,1800,1124 E 51st St,"Brooklyn, NY 11234"
Brokered by Keller Williams Realty Greater Nassau,House for sale,1599000,5,3,5600,1233 Todt Hill Rd,"Staten Island, NY 10304"
"Brokered by Robert DeFalco Realty, Inc.",House for sale,1299900,4,4,2755,346 George St,"Staten Island, NY 10307"
Brokered by Corcoran Brooklyn Heights,Co-op for sale,370000,1,1,2184.207862,100 Remsen St Apt 3F,"Brooklyn, NY 11201"
Brokered by Living NY - Main Office,For sale,3225,3,1,2184.207862,635 W 170th St Apt 2C,"New York, NY 10032"
Brokered by Douglas Elliman - 575 Madison Ave,Co-op for sale,3649000,3,2,2184.207862,11 W 30th St Apt 11F,"New York, NY 10001"
"Brokered by Empire City Properties, LLC",Multi-family home for sale,860000,5,3,2324,3743 Neptune Ave,"Brooklyn, NY 11224"
Brokered by Re/Max Edge,House for sale,765000,3,4,2205,80 Longview Rd,"Staten Island, NY 10304"
Brokered by Douglas Elliman - 187 Seventh Ave,Co-op for sale,259000,1,1,750,3500 Snyder Ave Apt 5N,"Brooklyn, NY 11203"
Brokered by The Turner Realty Group Inc,Multi-family home for sale,1500000,8,3,3135,1601 Nostrand Ave,"Brooklyn, NY 11226"
Brokered by Brown Harris Stevens,Condo for sale,850000,2,2,1005,340 Cabrini Blvd Apt 501,"Manhattan, NY 10040"
Brokered by Living NY - Main Office,For sale,2494,2,1,2184.207862,635 W 170th St Apt 4F,"New York, NY 10032"
Brokered by 5 Boro Realty Corp,Condo for sale,99000,1,1,2184.207862,1368 E 92nd St Unit 300,"Brooklyn, NY 11236"
Brokered by Douglas Elliman - 1410 Cortelyou Rd,Co-op for sale,535000,1,1,750,192 E 8th St Apt 1C,"Brooklyn, NY 11218"
Brokered by Coldwell Banker Advantage,Multi-family home for sale,849998,4,2,2342,358 Lamoka Ave,"Staten Island, NY 10312"
Brokered by Sotheby's International Realty - East Side Manhattan Brokerage,For sale,1100000,2,2,2184.207862,2235 Frederick Douglass Blvd Apt 7K,"New York, NY 10027"
Brokered by SkyLimit Realty Group,Multi-family home for sale,998000,5,3,1574,60-17 59th Ave,"Maspeth, NY 11378"
Brokered by CENTURY 21 Achievers,Multi-family home for sale,1500000,3,2,2184.207862,3115 Glenwood Rd,"Brooklyn, NY 11210"
Brokered by New Concept Sheiks Realty Inc.,Multi-family home for sale,875000,6,3,2860,1779 Edenwald Ave,"Bronx, NY 10466"
Brokered by COMPASS,Condo for sale,2350000,1,2,1144,456 W 19th St Units 4 & 5C,"Manhattan, NY 10011"
Brokered by BESMATCH REAL ESTATE,Multi-family home for sale,850000,5,2,1908,4346 Edson Ave,"Bronx, NY 10466"
Brokered by Sotheby's International Realty - Downtown Manhattan,For sale,4000000,3,2.373860858,2248,445 Lafayette St Apt 14A,"New York, NY 10003"
Brokered by Douglas Elliman - 575 Madison Ave,Co-op for sale,1200000,3,2,2184.207862,955 Lexington Ave Unit 5C,"New York, NY 10021"
Brokered by Serhant,Condo for sale,12000000,4,4,3809,67 Franklin St # A,"New York, NY 10013"
Brokered by CHRISTIE'S INT.REAL ESTATE GROUP,Co-op for sale,1300000,2,2,2184.207862,269 W 87th St Apt 6C,"New York, NY 10024"
"Brokered by Nest Seekers International, Westside",For sale,799000,3,1,585,240 Riverside Blvd Apt 3P,"New York, NY 10069"
Brokered by Steven Corcoran Real Estate LLC - Steven Corcoran Real Estate TudorCity.com,Co-op for sale,339000,3,1,250,314 E 41st St Apt 303B,"New York, NY 10017"
Brokered by RE MAX Distinguished Homes & Properties,Multi-family home for sale,875000,7,5,2680,1126 Ward Ave,"Bronx, NY 10472"
Brokered by Keller Williams Realty NYC Grp,Multi-family home for sale,799000,7,2,2296,1341 Fteley Ave,"Bronx, NY 10472"
Brokered by Keller Williams Realty NYC Grp,Multi-family home for sale,799000,7,2,2296,1341 Fteley Ave,"Bronx, NY 10472"
Brokered by Sowae Corp,House for sale,285000,2,1,1380,102-15 215 St,"Queens Village, NY 11429"
Brokered by Century 21 AA Realty,Multi-family home for sale,2499000,5,4,1340,181 Park Ave,"Brooklyn, NY 11205"
Brokered by Douglas Elliman - 3544 Johnson Ave,Townhouse for sale,795000,4,2,1440,42 Adrian Ave,"New York, NY 10463"
Brokered by Douglas Elliman - 575 Madison Ave,Co-op for sale,1799995,2,2,2184.207862,207 E 74th St Unit 8M,"New York, NY 10021"
Brokered by Sowae Corp,House for sale,250000,3,2.373860858,1224,164-31 99 St,"Howard Beach, NY 11414"
"Brokered by Nest Seekers International, Internationa",For sale,5999000,3,3,3000,220 Riverside Blvd Apt 24G,"New York, NY 10069"
Brokered by Douglas Elliman - Franklin Square,Pending,668000,3,2,1606,88-08 Gettysburg St,"Bellerose, NY 11426"
Brokered by Hand In Hand Real Estate,House for sale,699900,3,2,1470,102 Lamberts Ln,"Staten Island, NY 10314"
Brokered by Brownstone Real Estate LLC - Carroll Gardens,Townhouse for sale,5295000,4,4,4600,75 2nd Pl,"Brooklyn, NY 11231"
Brokered by Extell Marketing Group LLC,Condo for sale,2265000,2,2,1123,252 South St Unit 26L,"New York, NY 10002"
Brokered by EXP Realty,Co-op for sale,459000,2,1,950,142-05 Roosevelt Ave Unit 435,"Flushing, NY 11354"
Brokered by J Milo Real Estate,Multi-family home for sale,1369000,4,2.373860858,2900,7 Stalie Ct,"Staten Island, NY 10309"
Brokered by True North Realty Luxury Homes,House for sale,879000,4,2,2184.207862,87-45 253rd St,"Bellerose, NY 11426"
Brokered by Douglas Elliman  -111 Fifth Ave,Condo for sale,559000,1,1,679,161 E 110th St Apt 6G,"New York, NY 10029"
Brokered by New York Realty Minimax,Multi-family home for sale,869888,4,3,2184.207862,86-27 125th St,"Richmond Hill, NY 11418"
Brokered by Keller Williams Rlty Landmark,House for sale,799888,3,2,2184.207862,62-24 65 St,"Middle Village, NY 11379"
Brokered by Berkshire Hathaway HomeServices Cangiano Estates,House for sale,749000,4,1,1040,29 Canterbury Ave,"Staten Island, NY 10314"
NoBroker,House for sale,499000,2,3,2184.207862,119-44 193rd St,"Saint Albans, NY 11412"
Brokered by Douglas Elliman - 575 Madison Ave,House for sale,1295000,3,4,2193,269 W 87th St Apt 7B,"New York, NY 10024"
Brokered by J. Milo Real Estate Ltd,Pending,879900,3,2,2242,640 Sheldon Ave,"Staten Island, NY 10312"
Brokered by Corcoran SoHo,Co-op for sale,400000,2,2,1150,8 Magnolia Pl # 8,"Bronx, NY 10465"
Brokered by Century 21 Dawns Gold,Multi-family home for sale,699999,6,2.373860858,2184.207862,1839 Andrews Ave,"Bronx, NY 10453"
Brokered by Corcoran Bedford Stuyvesant,Condo for sale,289000,1,1,666,1065 Vermont St Apt 4G,"Brooklyn, NY 11207"
Brokered by COMPASS,Condo for sale,699000,1,1,616,435 Tompkins Ave Unit 305,"Brooklyn, NY 11216"
Brokered by Century 21 Realty First,Land for sale,5800,3,2.373860858,2184.207862,4515 Avenue N Lot 5,"Brooklyn, NY 11234"
Brokered by Liberty Chateau Realty Inc,Foreclosure,479000,6,2,3100,16 Renfrew Pl,"Staten Island, NY 10303"
Brokered by COMPASS,Condo for sale,1355000,2,2,1002,435 Tompkins Ave Unit 703,"Brooklyn, NY 11216"
Brokered by COMPASS,Condo for sale,1225000,2,2,882,435 Tompkins Ave Unit 602,"Brooklyn, NY 11216"
"Brokered by Island Advantage Rlty, Llc",Foreclosure,9999000,4,6,4531,960 Park Ave Units 3W & 4C,"New York, NY 10028"
"Brokered by Bizzarro Agency, LLC",Co-op for sale,105000,3,1,656,2191 Bolton St Apt 5E,"Bronx, NY 10462"
Brokered by Nella Management Llc,House for sale,300000,3,1,952,5423 Avenue M,"Brooklyn, NY 11234"
Brokered by Keller Williams Realty NYC Grp,Multi-family home for sale,799000,5,3,2400,232 Throggs Neck Blvd,"Bronx, NY 10465"
Brokered by NY Home Ventures,Co-op for sale,202000,2,1,1453,18-70 211 St Unit 2A,"Bayside, NY 11360"
Brokered by Coldwell Banker Advantage,Contingent,720000,3,2,1430,190 Chestnut Ave,"Staten Island, NY 10305"
Brokered by Apollo Point Realty LLC,House for sale,600000,5,2,2184.207862,392 E 7th St,"Kensington, NY 11218"
Brokered by Douglas Elliman - 237 Smith St,Co-op for sale,599000,3,1,1200,7901 4th Ave Apt F7,"Brooklyn, NY 11209"
Brokered by Berkshire Hathaway HomeServices Cangiano Estates,Condo for sale,235000,2,1,860,162 Arlo Rd Unit A,"Staten Island, NY 10301"
Brokered by Douglas Elliman - Franklin Square,Co-op for sale,319000,3,1,960,58-42 251st St Unit 190,"Little Neck, NY 11362"
Brokered by Keller Williams Rlty Landmark,Multi-family home for sale,950000,12,6,2184.207862,18-29 George St,"Ridgewood, NY 11385"
Brokered by Carollo Real Estate Inc,Multi-family home for sale,1088888,4,2,2184.207862,15-03 201st St,"Bayside, NY 11360"
Brokered by Better Homes and Gardens Real Estate Safari Realty,House for sale,1250000,4,4,3300,24 Gianna Ct,"Staten Island, NY 10306"
Brokered by J Shayovitz Real Estate Corp,Land for sale,650000,3,2.373860858,2184.207862,2998 Fulton St,"Brooklyn, NY 11208"
Brokered by Claire Properties,House for sale,774888,3,2,960,417 Genesee Ave,"Staten Island, NY 10312"
"Brokered by Robert E. Hill, Inc.",Co-op for sale,105509,1,1,650,60 Knolls Cres Apt 8F,"Bronx, NY 10463"
Brokered by Douglas Elliman  -111 Fifth Ave,Multi-family home for sale,995000,5,2,2184.207862,544 Madison St,"Brooklyn, NY 11221"
Brokered by Douglas Elliman  -111 Fifth Ave,Multi-family home for sale,995000,5,2,2184.207862,544 Madison St,"Brooklyn, NY 11221"
Brokered by CENTURY 21 Kafcos Realty,House for sale,769000,4,2,1728,4322 E Tremont Ave,"Bronx, NY 10465"
Brokered by Ooakb&F Inc,Co-op for sale,395995,2,1,1100,5601 Riverdale Ave Apt 2B,"Bronx, NY 10471"
Brokered by Peter Ashe Real Estate- Peter Ashe Real Estate,For sale,975000,1,2,900,235 E 55th St Apt 45B,"New York, NY 10022"
Brokered by Morris Park Realty Group,House for sale,499999,2,1,1744,616 City Island Ave,"Bronx, NY 10464"
Brokered by Douglas Elliman - 1995 Broadway,Co-op for sale,1649000,2,2,2184.207862,165 W End Ave Apt 7N,"New York, NY 10023"
Brokered by EXP Realty,Co-op for sale,365000,2,1,2184.207862,83-40 Austin St Unit 3E,"Kew Gardens, NY 11415"
Brokered by Corcoran SoHo,Pending,748999,3,2,1620,122 North Dr,"Staten Island, NY 10305"
Brokered by Keller Williams Legendary,House for sale,635000,3,2,2184.207862,118-14 201st Pl,"Saint Albans, NY 11412"
Brokered by Corcoran SoHo,Co-op for sale,149000,3,1,400,87 Saint Marks Pl Apt 4C,"New York, NY 10009"
Brokered by Capri Jet Realty Corp,House for sale,1099000,5,2,1760,84-11 165th Ave,"Howard Beach, NY 11414"
Brokered by Prereal Prendamano Real Estate,Land for sale,3950000,3,2.373860858,2184.207862,750 Barclay Ave,"Staten Island, NY 10312"
Brokered by Prestige Homes Ny Inc,Multi-family home for sale,1529999,6,5,2400,116-25 134th St,"South Ozone Park, NY 11420"
Brokered by Gateway Arms Realty Corp.,House for sale,675000,3,1,1404,44 Hunter Pl,"Staten Island, NY 10301"
"Brokered by Century 21 Amiable Realty Group II, Inc.",House for sale,2650000,6,6,2184.207862,87-07 158th Ave,"Howard Beach, NY 11414"
